1,Adams County Health Department,,,,,(601) 445-4601,isty.barnnet@msdh.ms.gov
2,Alcorn County Health Department,,,,,(662) 287-6121,ystal.tate@msdh.ms.gov
3,Amite County Health Department,,,,,(601) 657-8351,isty.barnnet@msdh.ms.gov
4,Attala County Health Department,,,,,(662) 889-2351,aron.mccinn@msdh.state.ms.us
5,Benton County Health Department,,,,,(662) 224-6442,ystal.tate@msdh.ms.gov
6,Bolivar County Health Department,,,,,(662) 843-8305,aron.mccinn@msdh.state.ms.us
7,Calhoun County Health Department,,,,,(662) 412-3260,ystal.tate@msdh.state.ms.us
8,Carroll County Health Department,,,,,(662) 237-9224,aron.mccinn@msdh.state.ms.us
9,Chickasaw County Health Department,,,,,(662) 456-3737,ystal.tate@msdh.ms.gov
10,Choctaw County Health Department,,,,,(662) 285-6213,ystal.tate@msdh.ms.gov
11,Claiborne County Health Department,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
12,Clarke County Health Department,,,,,(601) 776-2149,bert.curry@msdh.ms.gov
13,Clay County Health Department,,,,,(662) 494-4514,ystal.tate@msdh.ms.gov
14,Coahoma County Health Department,,,,,(662) 624-8316,aron.mccinn@msdh.state.ms.us
15,Copiah County Health Department,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
16,Covington County Health Department,,,,,(601) 765-4291,isty.barnnet@msdh.ms.gov
17,DeSoto County Health Department,,,,,(662) 429-9814,aron.mccinn@msdh.state.ms.us
18,Forrest County Health Department,,,,,(601) 583-0291,isty.barnnet@msdh.ms.gov
19,Franklin County Health Department,,,,,(601) 384-5871,isty.barnnet@msdh.ms.gov
20,George County Health Department,,,,,(601) 947-4217,nnie.don@msdh.state.ms.us
21,Greene County Health Department,,,,,(601) 394-2389,omas.dobbs@healthyms.com
22,Grenada County Health Department,,,,,(662) 226-3711,aron.mccinn@msdh.state.ms.us
23,Hancock County Health Department,,,,,228-467-4510,risty.barnett@msdh.state.ms.us
24,Harrison County Health Department,,,,,(228) 863-1036,ndra.randell@msdh.state.ms.us
25,Hinds County Health Department,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
26,Holmes County Health Department,,,,,(662) 834-3142,aron.mccinn@msdh.state.ms.us
27,Humphreys County Health Department,,,,,(662) 247-1861,aron.mccinn@msdh.state.ms.us
28,Itawamba County Health Department,,,,,(662) 862-3710,ystal.tate@msdh.ms.gov
29,Jackson County Health Department,,,,,228-762-1117,risty.barnett@msdh.state.ms.us
30,Jasper County Health Department,,,,,(601) 764-2419,bert.curry@msdh.ms.gov
31,Jefferson County Health Department,,,,,(601) 786-3061,isty.barnnet@msdh.ms.gov
32,Jefferson Davis County Health Department,,,,,(601) 792-5135,isty.barnnet@msdh.ms.gov
33,Jones County Health Department,,,,,(601) 426-3258,isty.barnnet@msdh.ms.gov
34,Kemper County Health Department,,,,,601-743-5865,bert.curry@msdh.ms.gov
35,Lafayette County Health Department,,,,,(662) 234-5231,ystal.tate@msdh.ms.gov
36,Lamar County Health Department,,,,,(601) 794-1055,isty.barnnet@msdh.ms.gov
37,Lauderdale County Health Department,,,,,(601) 693-2451,bert.curry@msdh.ms.gov
38,Lawrence County Health Department,,,,,(601) 587-2561,isty.barnnet@msdh.ms.gov
39,Leake County Health Department,,,,,(601) 267-3072,bert.curry@msdh.ms.gov
40,Lee County Health Department,,,,,(662) 841-9096,ystal.tate@msdh.ms.gov
41,Leflore County Health Department,,,,,(662) 453-0284,aron.mccinn@msdh.state.ms.us
42,Lincoln County Health Department,,,,,(601) 833-3314,isty.barnnet@msdh.ms.gov
43,Lowndes County Health Department,,,,,(662) 328-6091,ystal.tate@msdh.ms.gov
44,Madison County Health Department,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
45,Marion County Health Department,,,,,(601) 736-2676,isty.barnnet@msdh.ms.gov
46,Marshall County Health Department,,,,,(662) 252-4621,ystal.tate@msdh.ms.gov
47,Monroe County Health Department,,,,,(662) 369-8132,ystal.tate@msdh.ms.gov
48,Montgomery County Health Department,,,,,(662) 283-3655,aron.mccinn@msdh.state.ms.us
49,Neshoba County Health Department,,,,,(601) 656-4371,bert.curry@msdh.ms.gov
50,Newton County Health Department,,,,,(601) 635-2337,bert.curry@msdh.ms.gov
51,Noxubee County Health Department,,,,,(662) 726-4451,ystal.tate@msdh.ms.gov
52,Oktibbeha County Health Department,,,,,(662) 323-4565,ystal.tate@msdh.ms.gov
53,Panola County Health Department,,,,,(662) 563-4616,aron.mccinn@msdh.state.ms.us
54,Pearl River County Health Department,,,,,(601) 798-6212,ul.byers@msdh.state.ms.us
55,Perry County Health Department,,,,,(601) 964-3288,vid.caulfield@msdh.state.ms.us
56,Pike County Health Department,,,,,(601) 684-1030,isty.barnnet@msdh.ms.gov
57,Pontotoc County Health Department,,,,,(662) 489-1241,ystal.tate@msdh.ms.gov
58,Prentiss County Health Department,,,,,(662) 728-3518,ystal.tate@msdh.ms.gov
59,Public Health District 1 - Northwest/Mississippi Department of Health,,,,,(662) 563-5603,fio.rausa@msdh.ms.gov
60,Public Health District 2 - Northeast/Mississippi Department of Health,,,,,(662) 841-9015,ma.taylor@msdh.ms.gov
61,Public Health District 3 - Delta/Hills / Mississippi Department of Health,,,,,(662) 453-4563,aron.mccinn@msdh.state.ms.us
62,Public Health District 4 - Tombigbee/Mississippi Department of Health,,,,,(662) 323-7313,ter.oppedisano@msdh.ms.gov
63,Public Health District 5 - West Central/Mississippi Department of Health,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
64,Public Health District 6 - East Central/Mississippi Department of Health,,,,,(601) 482-3171,bert.curry@msdh.ms.gov
65,Public Health District 7 - Southwest/Mississippi Department of Health,,,,,(601) 684-9411,slie.england@msdh.ms.gov
66,Public Health District 8 - Southeast/Mississippi Department of Health,,,,,(601) 544-6766,omas.dobbs@msdh.ms.gov
67,Public Health District 9 - Coastal/Plains / Mississippi Department of Health,,,,,(228) 831-5151,ul.byers@msdh.state.ms.us
68,Quitman County Health Department,,,,,(662) 326-2861,aron.mccinn@msdh.state.ms.us
69,Rankin County Health Department,,,,,(601) 825-2141,vid.caulfield@msdh.ms.gov
70,Scott County Health Department,,,,,(601) 469-4941,bert.curry@msdh.ms.gov
71,Sharkey/Issaquena County Health Department,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
72,Simpson County Health Department,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
73,Smith County Health Department,,,,,(601) 782-4472,bert.curry@msdh.ms.gov
74,Stone County Health Department,,,,,(601) 928-5293,aramore@msdh.state.ms.us
75,Sunflower County Health Department,,,,,(662) 887-4951,aron.mccinn@msdh.state.ms.us
76,Tallahatchie County Health Department,,,,,(662) 647-3404,aron.mccinn@msdh.state.ms.us
77,Tate County Health Department,,,,,(662) 562-4428,aron.mccinn@msdh.state.ms.us
78,Tippah County Health Department,,,,,(662) 837-3215,ystal.tate@msdh.ms.gov
79,Tishomingo County Health Department,http://www.healthyms.com,,,,(662) 423-6100,ma.taylor@yahoo.com
80,Tunica County Health Department,,,,,(662) 363-2166,aron.mccinn@msdh.state.ms.us
81,Union County Health Department,,,,,(662) 534-1926,ystal.tate@msdh.ms.gov
82,Walthall County Health Department,,,,,(601) 876-4924,isty.barnnet@msdh.ms.gov
83,Warren County Health Department,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
84,Washington County Health Department,,,,,(662) 332-8177,aron.mccinn@msdh.state.ms.us
85,Wayne County Health Department,,,,,(601) 735-2351,isty.barnnet@msdh.ms.gov
86,Webster County Health Department,,,,,(662) 258-3761,ystal.tate@msdh.ms.gov
87,Wilkinson County Health Department,,,,,(601) 888-4202,ammack@msdh.state.ms.us
88,Winston County Health Department,,,,,(601) 773-8087,ystal.tate@msdh.ms.gov
89,Yalobusha County Health Department,,,,,(662) 473-1424,aron.mccinn@msdh.state.ms.us
90,Yazoo County Health Department,,,,,(601) 981-2304,vid.caulfield@msdh.ms.gov
