1,Adams County,http://www.tchd.org/,https://twitter.com/TCHDHealth,https://www.facebook.com/cotchd/,,(303) 220-9200
2,Alamosa County,https://www.colorado.gov/pacific/alamosacounty/public-health-2,,,,(719) 589-4848
3,Arapahoe County,http://www.tchd.org/,https://twitter.com/TCHDHealth,https://www.facebook.com/cotchd/,,(303) 220-9200
4,Archuleta County,https://sjbpublichealth.org/,,,,(970) 264 2409
5,Baca County,https://www.bacacountyco.gov/departments/public-health/,,,,(719) 523-6621
6,Bent County,https://bentcph.org/,,,,(719) 456-0517
7,Boulder County,https://www.bouldercounty.org/departments/public-health/,https://twitter.com/bouldercounty,https://www.facebook.com/BoulderCounty/,,(303) 441-1100
8,City and County of Broomfield,https://www.broomfield.org/260/Health-and-Human-Services,https://www.broomfield.org/twitter,https://www.facebook.com/Broomfield,,(303) 469-3301
9,Chaffee County,https://www.chaffee-hhs.org/,,,,(719) 530-2500
10,Cheyenne County,http://www.co.cheyenne.co.us/countydepartments/publichealth.htm,,,,(719) 767-5616
11,Clear Creek County,https://www.clearcreekcounty.us/275/Public-Health,,,,(303) 670-7545 *,* Crystal Brandt, RN
12,Conejos County,https://www.conejoscounty.org/departments/business/public-health,,,,(719) 274-4307
13,Costilla County,https://www.colorado.gov/pacific/costillacounty/public-health-agency,,,,(719) 672-3332
14,Crowley County,https://www.colorado.gov/pacific/crowleycounty/health-department,,https://www.facebook.com/CrowleyCountyGov?ref=hl,,(719) 267-5245
15,Custer County,http://oem.custercountygov.com/ph.htm,,,,(719) 783-3369
16,Delta County,https://www.deltacounty.com/486/Health-Services,https://twitter.com/DeltaCountyCO,https://www.facebook.com/DeltaCountyCO/,,(970) 874-2165
17,City and County of Denver,https://www.denverhealth.org/,https://twitter.com/denverhealthmed,https://www.facebook.com/DenverHealthMedical/,,(720) 902-4127
18,Dolores County,http://www.dolorescounty.org/wp-content/themes/dolores-county/pdf/departments-and-contacts/Fact-Sheet-CDPHE.pdf, , ,,(970) 677-2387
19,Douglas County,http://www.tchd.org/,https://twitter.com/TCHDHealth,https://www.facebook.com/cotchd/,,(303) 220-9200
20,Eagle County,https://www.eaglecounty.us/publichealth/,http://www.twitter.com/EagleCounty,http://www.facebook.com/EagleCounty,,(970) 328-8840
21,El Paso County,https://www.elpasocountyhealth.org/,https://twitter.com/EPCPublicHealth,https://www.facebook.com/ElPasoCountyPublicHealth,,(719) 575-8888
22,Elbert County,https://www.elbertcounty-co.gov/health_and_human_services.php,,,,(303) 621-3149
23,Fremont County,https://www.fremontco.com/public-health/public-health-and-environment,,https://www.facebook.com/FremontCountyCO/,,(719) 276-7450
24,Garfield County,https://www.garfield-county.com/public-health/,,,,(970) 625-5200
25,Gilpin County,http://www.co.gilpin.co.us/departments/public_health_agency,https://twitter.com/GilpinCounty,https://www.facebook.com/GilpinCountyColorado,,(303) 582-5803
26,Grand County,https://www.co.grand.co.us/220/Public-Health, , ,,970-725-3288
27,Gunnison County,https://www.gunnisoncounty.org/152/Clinical-Services,,,https://www.gunnisoncounty.org/Rss.aspx
28,Hinsdale County,,,,,(970) 944-0321,304 W 3rd St, Lake City, CO 81235
29,Huerfano County,https://www.colorado.gov/la-h-health,,,,(719) 738-2650
30,Jackson County,https://jacksoncountycogov.com/public-health/,,,,(970) 723-4660
31,Jefferson County,https://www.jeffco.us/public-health,https://twitter.com/JeffcoPH,https://www.facebook.com/jeffcopublichealth,,(303) 232-6301
32,Kiowa County,https://www.kiowacounty-colorado.com/kiowa_county_public_health.htm,,,,(719) 438-5782
33,Kit Carson County,,,,,(719) 346-7158,252 S 14th St, Burlington, CO 80807
34,La Plata County,https://sjbpublichealth.org/,,,,(970) 264 2409
35,Lake County,http://www.lakecountyco.com/health/,,,,(719) 486-2413
36,Larimer County,https://www.larimer.org/health,http://twitter.com/LarimerCounty,http://facebook.com/larimercounty/,,(970) 498-7000
37,Las Animas County,https://www.colorado.gov/la-h-health,,,,(719) 738-2650
38,Lincoln County,http://lincolncountyco.us/public_health/public_health.html,https://twitter.com/lincolncountyph,https://www.facebook.com/lincolncountyph/,,(719) 743-2526
39,Logan County,https://www.nchd.org/,https://twitter.com/NortheastHealth,https://www.facebook.com/northeasthealth/l,,(877) 795-0646
40,Mesa County,https://health.mesacounty.us/,https://twitter.com/MC_PublicHealth,https://www.facebook.com/MesaCountyPublicHealth/,,(970) 248-6900
41,Mineral County,https://www.colorado.gov/pacific/mineralcountycolorado/public-health-3,,,,(719) 658-2416
42,Moffat County,https://northwestcoloradohealth.org/who_we_are/locations/craig-office.html,https://twitter.com/nwcolohealth,https://www.facebook.com/northwestcoloradohealth/,,(970) 824-8233
43,Montezuma County,http://montezumacounty.org/web/departments/public-health/,https://twitter.com/MontezumaHealth,https://www.facebook.com/Montezumacountyhealth,,(970) 565-3056
44,Montrose County,https://www.montrosecounty.net/107/Human-Services,https://twitter.com/Montrose_County,https://www.facebook.com/MontroseCounty,,(970) 252-5000
45,Morgan County,https://www.nchd.org/,https://twitter.com/NortheastHealth,https://www.facebook.com/northeasthealth/l,,(877) 795-0646
46,Otero County,https://www.oterogov.com/departments/health-department,,,,(719) 383-3040
47,Ouray County,https://ouraycountyco.gov/149/Public-Health,,https://www.facebook.com/Ouray-County-Public-Health-Agency-182062005463174/,,(970) 325-4670
48,Park County,http://www.parkco.us/86/Public-Health,https://twitter.com/ParkCounty,https://www.facebook.com/ParkCountyCO/,,(719) 836-4161
49,Phillips County,https://www.nchd.org/,https://twitter.com/NortheastHealth,https://www.facebook.com/northeasthealth/l,,(877) 795-0646
50,Pitkin County,https://pitkincounty.com/182/Human-Services,https://twitter.com/pitkincounty,https://www.facebook.com/pitkincounty,,(970) 920-5200
51,Prowers County,https://www.prowerscounty.net/departments/public_health_and_environment/index.php,,,,(719) 336-8025
52,Pueblo County,https://county.pueblo.org/public-health/pueblo-department-public-health-and-environment,https://twitter.com/PuebloHealth,https://www.facebook.com/PuebloHealth/,,(719) 583-4300
53,Rio Blanco County,https://www.rbc.us/282/Public-Health,,https://www.facebook.com/RioBlancoCounty,,(970) 878-9520
54,Rio Grande County,https://www.riograndecounty.org/public-health,http://www.twitter.com/RioGrandeCounty,http://www.facebook.com/RGCPublicHealth,,(719) 589-5807
55,Routt County,http://www.co.routt.co.us/641/Public-Health,https://twitter.com/Routt_CountyCO,https://www.facebook.com/routtcounty/,,(970) 870-5319
56,Saguache County,https://www.saguachecounty.net/index.php/public-health-home,,,,(719) 655-2533
57,San Juan County,https://www.colorado.gov/sanjuan,https://twitter.com/SanJuanCountyCo,https://www.facebook.com/sjcph/
58,San Miguel County,https://www.sanmiguelcountyco.gov/443/Public-Health,https://www.sanmiguelcountyco.gov/twitter,https://www.sanmiguelcountyco.gov/facebook,,(970) 728-4289
